label,fs,n_bins,radius_median,k2_mean_all,k2_mean_lowR,k2_mean_highR,k2_tail90_all,k2_tail90_lowR,k2_tail90_highR,kG_mean_all,kG_mean_lowR,kG_mean_highR,kG_tail90_all,kG_tail90_lowR,kG_tail90_highR,Release_low_minus_high_k2,Release_low_minus_high_kG
P1,256.1407175628518,450,0.8696457363880622,0.7120335577509359,0.9146285166942981,0.5076216036600995,1.9943794944689945,2.2742277623634934,1.3872825975353038,0.6805851741438643,0.40506468129535717,0.9585767028026719,1.4549402271000482,0.8715061341213092,2.1259972520712576,0.40700691303419867,-0.5535120215073148
P2,256.1407175628518,450,0.9430213686062507,0.6080040281005351,0.7656195958216335,0.44897486784382135,1.5691129840449103,1.9833372095016262,1.0854343973027596,0.7213085707696612,0.47085201826427503,0.9740113703827188,1.6159453729161137,1.0498343127043361,2.2250836793469824,0.3166447279778122,-0.5031593521184438
P3,256.1407175628518,450,1.3116719840649906,0.7605851538763471,0.8813614498222182,0.6387256624511407,1.9882481765796745,2.2379966721859117,1.8543330821383335,0.9439706195208056,0.6700661401637912,1.2203316412935783,1.957492802090201,1.478529752475142,2.57227625542186,0.2426357873710775,-0.5502655011297871
P4,256.1407175628518,450,1.2752949395194921,0.8538247421590933,1.061199402204284,0.6482934124254155,2.2974149338220213,2.5165406980450276,1.6893703917731369,1.009157589899299,0.729062814327431,1.28676263413275,2.09125301130806,1.3600574220220152,2.6977472677965184,0.4129059897788686,-0.557699819805319
P5,256.1407175628518,450,1.291321441934563,0.7454578501411225,0.9074163794191796,0.5820467779995849,1.9202913951659117,2.082227448917709,1.5649919896747577,0.9115602271920082,0.5979604788925929,1.227972529287831,1.8894581075205854,1.2442643287105852,2.6941684690562053,0.3253696014195947,-0.6300120503952381
P6,256.1407175628518,450,1.2950503296179456,0.8905275028750133,1.133856390104746,0.6493615390873227,2.3623043105073696,2.5108054947814935,1.6139053119653293,1.013713776385992,0.8434340292030245,1.1824799258162224,2.1601755705207712,1.6847474921172971,2.551691506017021,0.4844948510174233,-0.33904589661319795
P7,256.1407175628518,450,0.7755899087797182,0.7910869128807695,0.9836635237622843,0.5985103019992548,2.45797278423941,2.640187403919681,2.224317892005452,0.5497394028199907,0.3481685177711474,0.7513102878688339,1.2810780284806886,0.742661446943651,1.6870035758419362,0.38515322176302946,-0.40314177009768654
P8,256.1407175628518,450,0.9388137809206862,0.6684597484773873,0.8015381948656101,0.5341877734220055,1.7876093418440842,2.054102945754746,1.3326433570423355,0.6456862403019551,0.4437027599432699,0.8494812316952476,1.5864171341161482,0.9678023993723658,1.9413902661763314,0.26735042144360455,-0.4057784717519777
P9,256.1407175628518,450,1.4673213328477255,0.8072008535050654,0.9803567423378662,0.6324919970594144,2.0952494739801795,2.2769428618759044,1.8385117414171057,1.0403434064659371,0.8181132163629381,1.2645666924442998,2.309915987314887,1.7445490634906953,2.9434195191381245,0.3478647452784518,-0.44645347608136166
P10,256.1407175628518,450,0.9828776949831393,0.8982700462792332,1.0154665702701424,0.7821152691682433,2.2209727943981226,2.3235960090149526,2.1550791720827056,0.9637173805179425,0.6118682053221765,1.312439007489746,2.2349721300708754,1.1865018561599547,2.9781280462477304,0.23335130110189917,-0.7005708021675696
P11,256.1407175628518,450,0.924466837018767,0.9506579940499867,1.064730119113217,0.8355628006005392,2.4462625079172113,2.4770009571162857,2.396845384698142,0.9627843375647995,0.6523082597523514,1.2760449541917092,1.9753823325604465,1.3171159774826382,2.552469863188529,0.2291673185126778,-0.6237366944393578
P12,256.1407175628518,450,0.5562732683203884,1.07529221558981,1.2049546439762955,0.9444668954689164,2.7427102547415876,2.775574023127291,2.7306244610921038,0.5486151955613665,0.4076531758079003,0.6908414486758503,1.2112680160320202,0.8427650460687646,1.5168824579308544,0.2604877485073791,-0.28318827286795
P13,256.1407175628518,450,1.3071264623431724,0.7790763209120811,1.0266018291611165,0.5337510394030374,2.06440773952172,2.385964584473184,1.41385160269752,0.8959683343521612,0.7398144813069198,1.0507341531481116,1.87936972347314,1.465222004169101,2.1104840711456743,0.49285078975807917,-0.31091967184119174
P14,256.1407175628518,450,0.6041226263020212,0.6726794604154228,0.827251401728502,0.5167212236645583,1.8298770928230548,1.864073971443036,1.390026788068614,0.46729620749236067,0.3199553725741293,0.6159584848762265,1.0223960073057288,0.6563299021073576,1.3444074044310141,0.3105301780639437,-0.2960031123020972
P15,256.1407175628518,450,0.35706020683669626,0.9578846150006436,1.0998475947812183,0.8146484246390774,2.460499296693225,2.485933193907326,2.432927119537272,0.3226269544029542,0.2291878597095237,0.41690406788287293,0.6116908578265907,0.4638421560945475,0.8678780928342845,0.2851991701421409,-0.18771620817334922
P16,256.1407175628518,450,0.2810566275604993,0.6759677083725754,0.7804300384137615,0.5705684964476117,1.936402759159398,2.2110224095509943,1.534977700386586,0.457536891840835,0.17202992025029445,0.7456044640734433,0.7465120650223447,0.3417710127424222,1.028227025398405,0.2098615419661498,-0.5735745438231488
P17,256.1407175628518,450,0.8579814221606877,0.849636042709885,0.9711900008595636,0.7291625641882037,2.230954438685006,2.359812317476678,2.0688005516478447,0.654121492243447,0.497664546487362,0.809187709592811,1.397524043070854,1.0293327309974019,1.7272562216906096,0.24202743667135995,-0.31152316310544903
P18,256.1407175628518,450,0.5026395170995309,0.9244912209408288,1.1140586242267523,0.7349238176549052,2.4718916172395438,2.5561831150774315,2.156057037599227,0.5840525070308813,0.354021819809516,0.8140831942522465,1.287756518122014,0.6729235712742149,1.8467443969228274,0.37913480657184706,-0.4600613744427305
P19,256.1407175628518,450,0.9921317683242465,0.813394354902771,1.0058183299820498,0.619244604262243,2.252619238913881,2.381424291046827,1.6023811310950933,0.8501091311467734,0.5908145762158213,1.111729197781142,1.655467308837117,1.2230260471636325,2.04605142503932,0.38657372571980675,-0.5209146215653208
P20,256.1407175628518,450,0.6409827088807987,0.8237656508074852,0.9549170434564653,0.693780048315385,2.1637006949589863,2.316992831836789,2.0642883639210328,0.49266712928144113,0.3174924741445193,0.6662846763727013,1.0601736160603126,0.6941063529959969,1.706512478624357,0.26113699514108035,-0.34879220222818197
P21,256.1407175628518,450,0.7695461977306848,0.8441471829980893,0.9515038325067466,0.7367905334894321,2.3767442447369667,2.608121284524601,2.1113311108117214,0.7076880869184249,0.46929497747317306,0.9460811963636767,1.5613648363643697,0.9732756593443647,1.830493091171118,0.2147132990173145,-0.47678621889050365
P22,256.1407175628518,450,0.05679559249487444,0.744325093494039,0.9085967321227504,0.5800534548653273,1.9130382868883262,2.2014189514897233,1.5714792037241543,0.100270275361059,0.03483739439931725,0.16570315632280072,0.17516566590207205,0.07581570103032445,0.2656791803840779,0.32854327725742305,-0.13086576192348348
P23,256.1407175628518,450,1.3872379073946899,0.9989403049123876,1.1945967653502705,0.8032838444745047,2.222872423882016,2.3100564871188074,1.938495370467247,1.1718070367177789,1.0227815613991458,1.3208325120364124,2.518849035593909,1.907218227709149,2.7926364000057156,0.39131292087576575,-0.2980509506372666
P24,256.1407175628518,450,0.8035260376983762,0.8302216453974544,0.9468013119128066,0.7146782425844608,2.0593412443912813,2.372822266459183,1.9263197373159258,0.596633964491088,0.41012408233021724,0.7814859810327511,1.324568872835791,0.7842078528076243,1.6952130472166624,0.2321230693283458,-0.3713618987025339
P25,256.1407175628518,450,0.7764513325315928,0.8010352681916587,0.9381030642101772,0.6639674721731404,2.0940829280478153,2.344555876404933,1.8137738537429324,0.6947393083016941,0.4392472454030214,0.9502313712003667,1.558537174285561,0.876370066703318,2.0853696797826617,0.27413559203703675,-0.5109841257973453
P26,256.1407175628518,450,0.8842854370699844,0.7432442289631858,0.9072892180733293,0.5777279843453278,2.0028706935808716,2.1749892291188284,1.8163191046746068,0.8030371031038689,0.5503931722812141,1.0579468987769511,1.5940240705798967,1.2047065502430434,2.0921280014960617,0.3295612337280015,-0.507553726495737
